ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
Galaxies,(galaxies:) quasars: individual,relatedMatch,Double quasars,http://astrothesaurus.org/uat/406
Galaxies,(galaxies:) quasars: supermassive black holes,relatedMatch,Supermassive black holes,http://astrothesaurus.org/uat/1663
Galaxies,galaxies: abundances,exactMatch,Galaxy abundances,http://astrothesaurus.org/uat/574
Galaxies,galaxies: active,exactMatch,Active galaxies,http://astrothesaurus.org/uat/17
Galaxies,galaxies: bulges,relatedMatch,Galactic bulge,http://astrothesaurus.org/uat/2041
Galaxies,galaxies: bulges,exactMatch,Galaxy bulges,http://astrothesaurus.org/uat/578
Galaxies,galaxies: clusters: general,exactMatch,Galaxy clusters,http://astrothesaurus.org/uat/584
Galaxies,galaxies: clusters: individual,relatedMatch,Virgo Cluster,http://astrothesaurus.org/uat/1772
Galaxies,galaxies: clusters: individual,relatedMatch,Virgo Supercluster,http://astrothesaurus.org/uat/1773
Galaxies,galaxies: clusters: intracluster medium,exactMatch,Intracluster medium,http://astrothesaurus.org/uat/858
Galaxies,galaxies: distances and redshifts,relatedMatch,High-redshift galaxy clusters,http://astrothesaurus.org/uat/2007
Galaxies,galaxies: distances and redshifts,relatedMatch,Galaxy distances,http://astrothesaurus.org/uat/590
Galaxies,galaxies: distances and redshifts,relatedMatch,High-redshift galaxies,http://astrothesaurus.org/uat/734
Galaxies,galaxies: dwarf,narrowMatch,Nucleated dwarf galaxies,http://astrothesaurus.org/uat/1130
Galaxies,galaxies: dwarf,narrowMatch,Blue compact dwarf galaxies,http://astrothesaurus.org/uat/165
Galaxies,galaxies: dwarf,narrowMatch,Compact dwarf galaxies,http://astrothesaurus.org/uat/281
Galaxies,galaxies: dwarf,narrowMatch,Draco dwarf galaxy,http://astrothesaurus.org/uat/408
Galaxies,galaxies: dwarf,narrowMatch,Dwarf elliptical galaxies,http://astrothesaurus.org/uat/415
Galaxies,galaxies: dwarf,exactMatch,Dwarf galaxies,http://astrothesaurus.org/uat/416
Galaxies,galaxies: dwarf,narrowMatch,Dwarf irregular galaxies,http://astrothesaurus.org/uat/417
