preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
Argument of perihelion,http://astrothesaurus.org/uat/66,http://astrothesaurus.org/uat/ArgumentOfPerihelion,
Armillary spheres,http://astrothesaurus.org/uat/67,http://astrothesaurus.org/uat/ArmillarySpheres,
Artificial satellites,http://astrothesaurus.org/uat/68,http://astrothesaurus.org/uat/ArtificialSatellites,
Ascending node,http://astrothesaurus.org/uat/69,http://astrothesaurus.org/uat/AscendingNode,
Asteroid belt,http://astrothesaurus.org/uat/70,http://astrothesaurus.org/uat/AsteroidBelt,
Asteroid occultation,http://astrothesaurus.org/uat/71,http://astrothesaurus.org/uat/AsteroidOccultation,
Asteroids,http://astrothesaurus.org/uat/72,http://astrothesaurus.org/uat/Asteroids,
Asteroseismology,http://astrothesaurus.org/uat/73,http://astrothesaurus.org/uat/Asteroseismology,
Astrobiology,http://astrothesaurus.org/uat/74,http://astrothesaurus.org/uat/Astrobiology,
Astrochemistry,http://astrothesaurus.org/uat/75,http://astrothesaurus.org/uat/Astrochemistry,
Astrodynamics,http://astrothesaurus.org/uat/76,http://astrothesaurus.org/uat/Astrodynamics,
Astrographic catalogs,http://astrothesaurus.org/uat/77,http://astrothesaurus.org/uat/AstrographicCatalogs,
Astroinformatics,http://astrothesaurus.org/uat/78,http://astrothesaurus.org/uat/Astroinformatics,
Astrometric binary stars,http://astrothesaurus.org/uat/79,http://astrothesaurus.org/uat/AstrometricBinaryStars,
Astrometry,http://astrothesaurus.org/uat/80,http://astrothesaurus.org/uat/Astrometry,
Astronomers,http://astrothesaurus.org/uat/81,http://astrothesaurus.org/uat/Astronomers,
Astronomical coordinate systems,http://astrothesaurus.org/uat/82,http://astrothesaurus.org/uat/AstronomicalCoordinateSystems,
Astronomical databases,http://astrothesaurus.org/uat/83,http://astrothesaurus.org/uat/AstronomicalDatabases,
Astronomical detectors,http://astrothesaurus.org/uat/84,http://astrothesaurus.org/uat/AstronomicalDetectors,
Astronomical location,http://astrothesaurus.org/uat/85,http://astrothesaurus.org/uat/AstronomicalLocation,
Astronomical models,http://astrothesaurus.org/uat/86,http://astrothesaurus.org/uat/AstronomicalModels,
Astronomical object identification,http://astrothesaurus.org/uat/87,http://astrothesaurus.org/uat/AstronomicalObjectIdentification,
Astronomical optics,http://astrothesaurus.org/uat/88,http://astrothesaurus.org/uat/AstronomicalOptics,
Astronomical radiation sources,http://astrothesaurus.org/uat/89,http://astrothesaurus.org/uat/AstronomicalRadiationSources,
Astronomical reference materials,http://astrothesaurus.org/uat/90,http://astrothesaurus.org/uat/AstronomicalReferenceMaterials,
Astronomical research,http://astrothesaurus.org/uat/91,http://astrothesaurus.org/uat/AstronomicalResearch,
Astronomical seeing,http://astrothesaurus.org/uat/92,http://astrothesaurus.org/uat/AstronomicalSeeing,
Astronomical sextants,http://astrothesaurus.org/uat/93,http://astrothesaurus.org/uat/AstronomicalSextants,
Astronomical site protection,http://astrothesaurus.org/uat/94,http://astrothesaurus.org/uat/AstronomicalSiteProtection,
Astronomical unit,http://astrothesaurus.org/uat/95,http://astrothesaurus.org/uat/AstronomicalUnit,
Astroparticle physics,http://astrothesaurus.org/uat/96,http://astrothesaurus.org/uat/AstroparticlePhysics,
Astrophotography,http://astrothesaurus.org/uat/97,http://astrothesaurus.org/uat/Astrophotography,
Astrophysical black holes,http://astrothesaurus.org/uat/98,http://astrothesaurus.org/uat/AstrophysicalBlackHoles,
Astrophysical dust processes,http://astrothesaurus.org/uat/99,http://astrothesaurus.org/uat/AstrophysicalDustProcesses,
Astrophysical explosive burning,http://astrothesaurus.org/uat/100,http://astrothesaurus.org/uat/AstrophysicalExplosiveBurning,
Astrophysical fluid dynamics,http://astrothesaurus.org/uat/101,http://astrothesaurus.org/uat/AstrophysicalFluidDynamics,
Astrophysical magnetism,http://astrothesaurus.org/uat/102,http://astrothesaurus.org/uat/AstrophysicalMagnetism,
Astrophysical masers,http://astrothesaurus.org/uat/103,http://astrothesaurus.org/uat/AstrophysicalMasers,
Astrophysical processes,http://astrothesaurus.org/uat/104,http://astrothesaurus.org/uat/AstrophysicalProcesses,
Astrophysicists,http://astrothesaurus.org/uat/105,http://astrothesaurus.org/uat/Astrophysicists,
Astrosphere interstellar medium interactions,http://astrothesaurus.org/uat/106,http://astrothesaurus.org/uat/AstrosphereInterstellarMediumInteractions,
Astrospheres,http://astrothesaurus.org/uat/107,http://astrothesaurus.org/uat/Astrospheres,
Asymptotic giant branch,http://astrothesaurus.org/uat/108,http://astrothesaurus.org/uat/AsymptoticGiantBranch,
Ataxites,http://astrothesaurus.org/uat/109,http://astrothesaurus.org/uat/Ataxites,
Aten group,http://astrothesaurus.org/uat/110,http://astrothesaurus.org/uat/AtenGroup,
Atira group,http://astrothesaurus.org/uat/111,http://astrothesaurus.org/uat/AtiraGroup,
Atmospheric circulation,http://astrothesaurus.org/uat/112,http://astrothesaurus.org/uat/AtmosphericCirculation,
Atmospheric effects,http://astrothesaurus.org/uat/113,http://astrothesaurus.org/uat/AtmosphericEffects,
Atmospheric extinction,http://astrothesaurus.org/uat/114,http://astrothesaurus.org/uat/AtmosphericExtinction,
Atmospheric refraction,http://astrothesaurus.org/uat/115,http://astrothesaurus.org/uat/AtmosphericRefraction,
Atmospheric science,http://astrothesaurus.org/uat/116,http://astrothesaurus.org/uat/AtmosphericScience,
Atmospheric scintillation,http://astrothesaurus.org/uat/117,http://astrothesaurus.org/uat/AtmosphericScintillation,
Atmospheric tides,http://astrothesaurus.org/uat/118,http://astrothesaurus.org/uat/AtmosphericTides,
Atom interferometry,http://astrothesaurus.org/uat/119,http://astrothesaurus.org/uat/AtomInterferometry,
Australites,http://astrothesaurus.org/uat/120,http://astrothesaurus.org/uat/Australites,
Automated telescopes,http://astrothesaurus.org/uat/121,http://astrothesaurus.org/uat/AutomatedTelescopes,
Automatic patrol telescopes,http://astrothesaurus.org/uat/122,http://astrothesaurus.org/uat/AutomaticPatrolTelescopes,
Autumnal equinox,http://astrothesaurus.org/uat/123,http://astrothesaurus.org/uat/AutumnalEquinox,
Azimuth,http://astrothesaurus.org/uat/124,http://astrothesaurus.org/uat/Azimuth,
B dwarf stars,http://astrothesaurus.org/uat/126,http://astrothesaurus.org/uat/BDwarfs,
B giant stars,http://astrothesaurus.org/uat/127,http://astrothesaurus.org/uat/BGiants,
B stars,http://astrothesaurus.org/uat/128,http://astrothesaurus.org/uat/BStars,
B subdwarf stars,http://astrothesaurus.org/uat/129,http://astrothesaurus.org/uat/BSubdwarfs,
B supergiant stars,http://astrothesaurus.org/uat/130,http://astrothesaurus.org/uat/BSupergiants,
Baade-Wesselink method,http://astrothesaurus.org/uat/131,http://astrothesaurus.org/uat/Baade-WesselinkMethod,
Bailey type stars,http://astrothesaurus.org/uat/132,http://astrothesaurus.org/uat/BaileyTypeStars,
