preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
Equator position,http://astrothesaurus.org/uat/466,http://astrothesaurus.org/uat/EquatorPosition,
Equatorial coordinate system,http://astrothesaurus.org/uat/467,http://astrothesaurus.org/uat/EquatorialCoordinateSystem,
Equatorial mounts,http://astrothesaurus.org/uat/468,http://astrothesaurus.org/uat/EquatorialMounts,
Equatorial zone,http://astrothesaurus.org/uat/469,http://astrothesaurus.org/uat/EquatorialZone,
Equinox,http://astrothesaurus.org/uat/470,http://astrothesaurus.org/uat/Equinox,
Equinox correction,http://astrothesaurus.org/uat/471,http://astrothesaurus.org/uat/EquinoxCorrection,
Ergosphere,http://astrothesaurus.org/uat/472,http://astrothesaurus.org/uat/Ergosphere,
Eris,http://astrothesaurus.org/uat/473,http://astrothesaurus.org/uat/Eris,
Eruptive binary stars,http://astrothesaurus.org/uat/474,http://astrothesaurus.org/uat/EruptiveBinaryStars,
Eruptive phenomena,http://astrothesaurus.org/uat/475,http://astrothesaurus.org/uat/EruptivePhenomena,
Eruptive variable stars,http://astrothesaurus.org/uat/476,http://astrothesaurus.org/uat/EruptiveVariables,
Ethnoastronomy,http://astrothesaurus.org/uat/477,http://astrothesaurus.org/uat/Ethnoastronomy,
Evaporating gaseous globules,http://astrothesaurus.org/uat/478,http://astrothesaurus.org/uat/EvaporatingGaseousGlobules,
Event horizons,http://astrothesaurus.org/uat/479,http://astrothesaurus.org/uat/EventHorizons,
Evolution equation,http://astrothesaurus.org/uat/480,http://astrothesaurus.org/uat/EvolutionEquation,
Evolved stars,http://astrothesaurus.org/uat/481,http://astrothesaurus.org/uat/EvolvedStars,
Exobiology,http://astrothesaurus.org/uat/482,http://astrothesaurus.org/uat/Exobiology,
Exomoons,http://astrothesaurus.org/uat/483,http://astrothesaurus.org/uat/Exomoons,
Exoplanet astrometry,http://astrothesaurus.org/uat/485,http://astrothesaurus.org/uat/ExoplanetAstrometry,
Exoplanet astronomy,http://astrothesaurus.org/uat/486,http://astrothesaurus.org/uat/ExoplanetAstronomy,
Exoplanet atmospheres,http://astrothesaurus.org/uat/487,http://astrothesaurus.org/uat/ExoplanetAtmospheres,
Exoplanet catalogs,http://astrothesaurus.org/uat/488,http://astrothesaurus.org/uat/ExoplanetCatalogs,
Exoplanet detection methods,http://astrothesaurus.org/uat/489,http://astrothesaurus.org/uat/ExoplanetDetectionMethods,
Exoplanet dynamics,http://astrothesaurus.org/uat/490,http://astrothesaurus.org/uat/ExoplanetDynamics,
Exoplanet evolution,http://astrothesaurus.org/uat/491,http://astrothesaurus.org/uat/ExoplanetEvolution,
Exoplanet formation,http://astrothesaurus.org/uat/492,http://astrothesaurus.org/uat/ExoplanetFormation,
Exoplanet plate tectonics,http://astrothesaurus.org/uat/493,http://astrothesaurus.org/uat/ExoplanetPlateTectonics,
Exoplanet rings,http://astrothesaurus.org/uat/494,http://astrothesaurus.org/uat/ExoplanetRings,
Exoplanet structure,http://astrothesaurus.org/uat/495,http://astrothesaurus.org/uat/ExoplanetStructure,
Exoplanet surface characteristics,http://astrothesaurus.org/uat/496,http://astrothesaurus.org/uat/ExoplanetSurfaceCharacteristics,
Exoplanet tides,http://astrothesaurus.org/uat/497,http://astrothesaurus.org/uat/ExoplanetTides,
Exoplanets,http://astrothesaurus.org/uat/498,http://astrothesaurus.org/uat/Exoplanets,
Exosphere,http://astrothesaurus.org/uat/499,http://astrothesaurus.org/uat/Exosphere,
Exozodiacal dust,http://astrothesaurus.org/uat/500,http://astrothesaurus.org/uat/ExozodiacalDust,
Expanding stellar envelopes,http://astrothesaurus.org/uat/501,http://astrothesaurus.org/uat/ExpandingStellarEnvelopes,
Expanding universe,http://astrothesaurus.org/uat/502,http://astrothesaurus.org/uat/ExpandingUniverse,
Explosive nucleosynthesis,http://astrothesaurus.org/uat/503,http://astrothesaurus.org/uat/ExplosiveNucleosynthesis,
Extended radiation sources,http://astrothesaurus.org/uat/504,http://astrothesaurus.org/uat/ExtendedRadiationSources,
Extinction,http://astrothesaurus.org/uat/505,http://astrothesaurus.org/uat/Extinction,
Extragalactic astronomy,http://astrothesaurus.org/uat/506,http://astrothesaurus.org/uat/ExtragalacticAstronomy,
Extragalactic magnetic fields,http://astrothesaurus.org/uat/507,http://astrothesaurus.org/uat/ExtragalacticMagneticFields,
Extragalactic radio sources,http://astrothesaurus.org/uat/508,http://astrothesaurus.org/uat/ExtragalacticRadioSources,
Extrasolar gas giants,http://astrothesaurus.org/uat/509,http://astrothesaurus.org/uat/ExtrasolarGasGiants,
Extrasolar radiation,http://astrothesaurus.org/uat/510,http://astrothesaurus.org/uat/ExtrasolarRadiation,
Extrasolar rocky planets,http://astrothesaurus.org/uat/511,http://astrothesaurus.org/uat/ExtrasolarRockyPlanets,
Extreme carbon stars,http://astrothesaurus.org/uat/512,http://astrothesaurus.org/uat/ExtremeCarbonStars,
Extreme horizontal branch stars,http://astrothesaurus.org/uat/513,http://astrothesaurus.org/uat/ExtremeHorizontalBranchStars,
Extrinsic variable stars,http://astrothesaurus.org/uat/514,http://astrothesaurus.org/uat/ExtrinsicVariableStars,
F corona,http://astrothesaurus.org/uat/515,http://astrothesaurus.org/uat/FCorona,
F dwarf stars,http://astrothesaurus.org/uat/516,http://astrothesaurus.org/uat/FDwarfs,
F giant stars,http://astrothesaurus.org/uat/517,http://astrothesaurus.org/uat/FGiants,
F layer,http://astrothesaurus.org/uat/518,http://astrothesaurus.org/uat/FLayer,
F stars,http://astrothesaurus.org/uat/519,http://astrothesaurus.org/uat/FStars,
F subdwarf stars,http://astrothesaurus.org/uat/520,http://astrothesaurus.org/uat/FSubdwarfs,
F subgiant stars,http://astrothesaurus.org/uat/521,http://astrothesaurus.org/uat/FSubgiants,
F supergiant stars,http://astrothesaurus.org/uat/522,http://astrothesaurus.org/uat/FSupergiants,
Faber-Jackson distance,http://astrothesaurus.org/uat/523,http://astrothesaurus.org/uat/Faber-JacksonDistance,
Fabry-Perot interferometers,http://astrothesaurus.org/uat/524,http://astrothesaurus.org/uat/Fabry-PerotInterferometers,
Faint blue stars,http://astrothesaurus.org/uat/525,http://astrothesaurus.org/uat/FaintBlueStars,
Fanaroff-Riley radio galaxies,http://astrothesaurus.org/uat/526,http://astrothesaurus.org/uat/Fanaroff-RileyRadioGalaxies,
Far infrared astronomy,http://astrothesaurus.org/uat/529,http://astrothesaurus.org/uat/FarInfraredAstronomy,http://astrothesaurus.org/uat/Far-InfraredAstronomy
Far-infrared interferometry [Exoplanets],http://astrothesaurus.org/uat/528,http://astrothesaurus.org/uat/Far-InfraredInterferometry_(Exoplanets),
Fast novae,http://astrothesaurus.org/uat/530,http://astrothesaurus.org/uat/FastNovae,
Few-body systems,http://astrothesaurus.org/uat/531,http://astrothesaurus.org/uat/Few-BodySystems,
Fibrils,http://astrothesaurus.org/uat/532,http://astrothesaurus.org/uat/Fibrils,
Field galaxies,http://astrothesaurus.org/uat/533,http://astrothesaurus.org/uat/FieldGalaxies,
Field of view,http://astrothesaurus.org/uat/534,http://astrothesaurus.org/uat/FieldOfView,
Filamentary nebulae,http://astrothesaurus.org/uat/535,http://astrothesaurus.org/uat/FilamentaryNebulae,
Finding charts,http://astrothesaurus.org/uat/536,http://astrothesaurus.org/uat/FindingCharts,
Finding lists,http://astrothesaurus.org/uat/537,http://astrothesaurus.org/uat/FindingLists,
Fireballs,http://astrothesaurus.org/uat/538,http://astrothesaurus.org/uat/Fireballs,
FK catalog,http://astrothesaurus.org/uat/539,http://astrothesaurus.org/uat/FkCatalog,
Flare stars,http://astrothesaurus.org/uat/540,http://astrothesaurus.org/uat/FlareStars,
Flash spectra,http://astrothesaurus.org/uat/541,http://astrothesaurus.org/uat/FlashSpectra,
Flash stars,http://astrothesaurus.org/uat/542,http://astrothesaurus.org/uat/FlashStars,
Flat space,http://astrothesaurus.org/uat/543,http://astrothesaurus.org/uat/FlatSpace,
Flux calibration,http://astrothesaurus.org/uat/544,http://astrothesaurus.org/uat/FluxCalibration,
Flyby missions,http://astrothesaurus.org/uat/545,http://astrothesaurus.org/uat/FlybyMissions,
Forbush effect,http://astrothesaurus.org/uat/546,http://astrothesaurus.org/uat/ForbushEffect,
Fork mounts,http://astrothesaurus.org/uat/547,http://astrothesaurus.org/uat/ForkMounts,
Fornax dwarf spheroidal galaxy,http://astrothesaurus.org/uat/548,http://astrothesaurus.org/uat/FornaxDwarfSpheroidalGalaxy,
Free floating planets,http://astrothesaurus.org/uat/549,http://astrothesaurus.org/uat/FreeFloatingPlanets,
Friedmann universe,http://astrothesaurus.org/uat/551,http://astrothesaurus.org/uat/FriedmannUniverse,
Friedmann-Robertson-Walker metric,http://astrothesaurus.org/uat/550,http://astrothesaurus.org/uat/Friedmann-Robertson-WalkerMetric,
Frozen in elements,http://astrothesaurus.org/uat/552,http://astrothesaurus.org/uat/FrozenInElements,
FU Orionis stars,http://astrothesaurus.org/uat/554,http://astrothesaurus.org/uat/FuOrionisStars,http://astrothesaurus.org/uat/FuOrionis
Fundamental parameters of stars,http://astrothesaurus.org/uat/555,http://astrothesaurus.org/uat/FundamentalParametersOfStars,
G dwarf stars,http://astrothesaurus.org/uat/556,http://astrothesaurus.org/uat/GDwarfs,
G giant stars,http://astrothesaurus.org/uat/557,http://astrothesaurus.org/uat/GGiants,
G stars,http://astrothesaurus.org/uat/558,http://astrothesaurus.org/uat/GStars,
G subdwarf stars,http://astrothesaurus.org/uat/559,http://astrothesaurus.org/uat/GSubdwarfs,
G subgiant stars,http://astrothesaurus.org/uat/560,http://astrothesaurus.org/uat/GSubgiants,
G supergiant stars,http://astrothesaurus.org/uat/561,http://astrothesaurus.org/uat/GSupergiants,
Galactic accretion disks,http://astrothesaurus.org/uat/562,http://astrothesaurus.org/uat/GalacticAccretionDisks,
Galactic and extragalactic astronomy,http://astrothesaurus.org/uat/563,http://astrothesaurus.org/uat/GalacticAndExtragalacticAstronomy,
Galactic anticenter,http://astrothesaurus.org/uat/564,http://astrothesaurus.org/uat/GalacticAnticenter,
Galactic center,http://astrothesaurus.org/uat/565,http://astrothesaurus.org/uat/GalacticCenter,
Galactic coordinate system,http://astrothesaurus.org/uat/566,http://astrothesaurus.org/uat/GalacticCoordinateSystem,
Galactic cosmic rays,http://astrothesaurus.org/uat/567,http://astrothesaurus.org/uat/GalacticCosmicRays,
Galactic latitude,http://astrothesaurus.org/uat/568,http://astrothesaurus.org/uat/GalacticLatitude,
Galactic longitude,http://astrothesaurus.org/uat/569,http://astrothesaurus.org/uat/GalacticLongitude,
Galactic poles,http://astrothesaurus.org/uat/570,http://astrothesaurus.org/uat/GalacticPoles,
Galactic radio sources,http://astrothesaurus.org/uat/571,http://astrothesaurus.org/uat/GalacticRadioSources,
Galactic winds,http://astrothesaurus.org/uat/572,http://astrothesaurus.org/uat/GalacticWinds,
Galaxies,http://astrothesaurus.org/uat/573,http://astrothesaurus.org/uat/Galaxies,
Galaxy abundances,http://astrothesaurus.org/uat/574,http://astrothesaurus.org/uat/GalaxyAbundances,
Galaxy accretion,http://astrothesaurus.org/uat/575,http://astrothesaurus.org/uat/GalaxyAccretion,
Galaxy ages,http://astrothesaurus.org/uat/576,http://astrothesaurus.org/uat/GalaxyAges,
Galaxy anticenters,http://astrothesaurus.org/uat/577,http://astrothesaurus.org/uat/GalaxyAnticenters,
Galaxy bulges,http://astrothesaurus.org/uat/578,http://astrothesaurus.org/uat/GalaxyBulges,
Galaxy chemical composition,http://astrothesaurus.org/uat/579,http://astrothesaurus.org/uat/GalaxyChemicalComposition,
Galaxy chemical evolution,http://astrothesaurus.org/uat/580,http://astrothesaurus.org/uat/GalaxyChemicalEvolution,
Galaxy circumnuclear disk,http://astrothesaurus.org/uat/581,http://astrothesaurus.org/uat/GalaxyCircumnuclearDisk,
Galaxy classification systems,http://astrothesaurus.org/uat/582,http://astrothesaurus.org/uat/GalaxyClassificationSystems,
Galaxy cluster counts,http://astrothesaurus.org/uat/583,http://astrothesaurus.org/uat/GalaxyClusterCounts,
Galaxy clusters,http://astrothesaurus.org/uat/584,http://astrothesaurus.org/uat/GalaxyClusters,
Galaxy collisions,http://astrothesaurus.org/uat/585,http://astrothesaurus.org/uat/GalaxyCollisions,
Galaxy colors,http://astrothesaurus.org/uat/586,http://astrothesaurus.org/uat/GalaxyColors,
Galaxy components,http://astrothesaurus.org/uat/587,http://astrothesaurus.org/uat/GalaxyComponents,
Galaxy counts,http://astrothesaurus.org/uat/588,http://astrothesaurus.org/uat/GalaxyCounts,
Galaxy disks,http://astrothesaurus.org/uat/589,http://astrothesaurus.org/uat/GalaxyDisks,
Galaxy distances,http://astrothesaurus.org/uat/590,http://astrothesaurus.org/uat/GalaxyDistances,
Galaxy dynamics,http://astrothesaurus.org/uat/591,http://astrothesaurus.org/uat/GalaxyDynamics,
Galaxy encounters,http://astrothesaurus.org/uat/592,http://astrothesaurus.org/uat/GalaxyEncounters,
Galaxy equators,http://astrothesaurus.org/uat/593,http://astrothesaurus.org/uat/GalaxyEquators,
Galaxy evolution,http://astrothesaurus.org/uat/594,http://astrothesaurus.org/uat/GalaxyEvolution,
Galaxy formation,http://astrothesaurus.org/uat/595,http://astrothesaurus.org/uat/GalaxyFormation,
Galaxy fountains,http://astrothesaurus.org/uat/596,http://astrothesaurus.org/uat/GalaxyFountains,
Galaxy groups,http://astrothesaurus.org/uat/597,http://astrothesaurus.org/uat/GalaxyGroups,
Galaxy halos,http://astrothesaurus.org/uat/598,http://astrothesaurus.org/uat/GalaxyHalos,
Galaxy infall,http://astrothesaurus.org/uat/599,http://astrothesaurus.org/uat/GalaxyInfall,
Galaxy interactions,http://astrothesaurus.org/uat/600,http://astrothesaurus.org/uat/GalaxyInteractions,
Galaxy jets,http://astrothesaurus.org/uat/601,http://astrothesaurus.org/uat/GalaxyJets,
Galaxy kinematics,http://astrothesaurus.org/uat/602,http://astrothesaurus.org/uat/GalaxyKinematics,
Galaxy luminosities,http://astrothesaurus.org/uat/603,http://astrothesaurus.org/uat/GalaxyLuminosities,
Galaxy magnetic fields,http://astrothesaurus.org/uat/604,http://astrothesaurus.org/uat/GalaxyMagneticFields,
Galaxy magnitudes,http://astrothesaurus.org/uat/605,http://astrothesaurus.org/uat/GalaxyMagnitudes,
Galaxy mass distribution,http://astrothesaurus.org/uat/606,http://astrothesaurus.org/uat/GalaxyMassDistribution,
Galaxy masses,http://astrothesaurus.org/uat/607,http://astrothesaurus.org/uat/GalaxyMasses,
Galaxy mergers,http://astrothesaurus.org/uat/608,http://astrothesaurus.org/uat/GalaxyMergers,
Galaxy nuclei,http://astrothesaurus.org/uat/609,http://astrothesaurus.org/uat/GalaxyNuclei,
Galaxy pairs,http://astrothesaurus.org/uat/610,http://astrothesaurus.org/uat/GalaxyPairs,
Galaxy photometry,http://astrothesaurus.org/uat/611,http://astrothesaurus.org/uat/GalaxyPhotometry,
Galaxy physics,http://astrothesaurus.org/uat/612,http://astrothesaurus.org/uat/GalaxyPhysics,
Galaxy planes,http://astrothesaurus.org/uat/613,http://astrothesaurus.org/uat/GalaxyPlanes,
Galaxy processes,http://astrothesaurus.org/uat/614,http://astrothesaurus.org/uat/GalaxyProcesses,
Galaxy properties,http://astrothesaurus.org/uat/615,http://astrothesaurus.org/uat/GalaxyProperties,
Galaxy radial velocities,http://astrothesaurus.org/uat/616,http://astrothesaurus.org/uat/GalaxyRadialVelocities,
Galaxy radii,http://astrothesaurus.org/uat/617,http://astrothesaurus.org/uat/GalaxyRadii,
Galaxy rotation,http://astrothesaurus.org/uat/618,http://astrothesaurus.org/uat/GalaxyRotation,
Galaxy rotation curves,http://astrothesaurus.org/uat/619,http://astrothesaurus.org/uat/GalaxyRotationCurves,
Galaxy spurs,http://astrothesaurus.org/uat/620,http://astrothesaurus.org/uat/GalaxySpurs,
Galaxy stellar content,http://astrothesaurus.org/uat/621,http://astrothesaurus.org/uat/GalaxyStellarContent,
Galaxy structure,http://astrothesaurus.org/uat/622,http://astrothesaurus.org/uat/GalaxyStructure,
Galaxy tides,http://astrothesaurus.org/uat/623,http://astrothesaurus.org/uat/GalaxyTides,
Galaxy triplets,http://astrothesaurus.org/uat/624,http://astrothesaurus.org/uat/GalaxyTriplets,
Galaxy voids,http://astrothesaurus.org/uat/625,http://astrothesaurus.org/uat/GalaxyVoids,
Galaxy winds,http://astrothesaurus.org/uat/626,http://astrothesaurus.org/uat/GalaxyWinds,
Galilean satellites,http://astrothesaurus.org/uat/627,http://astrothesaurus.org/uat/GalileanSatellites,
Gamma Cassiopeiae stars,http://astrothesaurus.org/uat/635,http://astrothesaurus.org/uat/GammaCassiopeiaeStars,
Gamma ray telescopes,http://astrothesaurus.org/uat/636,http://astrothesaurus.org/uat/GammaRayTelescopes,
Gamma rays,http://astrothesaurus.org/uat/637,http://astrothesaurus.org/uat/GammaRays,
Gamma-ray astronomy,http://astrothesaurus.org/uat/628,http://astrothesaurus.org/uat/Gamma-RayAstronomy,
Gamma-ray bursts,http://astrothesaurus.org/uat/629,http://astrothesaurus.org/uat/Gamma-RayBursts,
Gamma-ray detectors,http://astrothesaurus.org/uat/630,http://astrothesaurus.org/uat/Gamma-RayDetectors,
Gamma-ray lines,http://astrothesaurus.org/uat/631,http://astrothesaurus.org/uat/Gamma-RayLines,
Gamma-ray observatories,http://astrothesaurus.org/uat/632,http://astrothesaurus.org/uat/Gamma-RayObservatories,
Gamma-ray sources,http://astrothesaurus.org/uat/633,http://astrothesaurus.org/uat/Gamma-RaySources,
Gamma-ray telescopes,http://astrothesaurus.org/uat/634,http://astrothesaurus.org/uat/Gamma-RayTelescopes,
Gaseous nebulae,http://astrothesaurus.org/uat/639,http://astrothesaurus.org/uat/GaseousNebulae,
Gas-to-dust ratio,http://astrothesaurus.org/uat/638,http://astrothesaurus.org/uat/Gas-To-DustRatio,
Gegenschein,http://astrothesaurus.org/uat/640,http://astrothesaurus.org/uat/Gegenschein,
General relativity,http://astrothesaurus.org/uat/641,http://astrothesaurus.org/uat/GeneralRelativity,
Geneva photometry,http://astrothesaurus.org/uat/642,http://astrothesaurus.org/uat/GenevaPhotometry,
Geocentric orbit,http://astrothesaurus.org/uat/643,http://astrothesaurus.org/uat/GeocentricOrbit,
Geocorona,http://astrothesaurus.org/uat/644,http://astrothesaurus.org/uat/Geocorona,
Geodesics,http://astrothesaurus.org/uat/645,http://astrothesaurus.org/uat/Geodesics,
Geomagnetic fields,http://astrothesaurus.org/uat/646,http://astrothesaurus.org/uat/GeomagneticFields,
Geostationary satellites,http://astrothesaurus.org/uat/647,http://astrothesaurus.org/uat/GeostationarySatellites,
Geosynchronous satellites,http://astrothesaurus.org/uat/648,http://astrothesaurus.org/uat/GeosynchronousSatellites,
German equatorial mounts,http://astrothesaurus.org/uat/649,http://astrothesaurus.org/uat/GermanEquatorialMounts,
Giant branches,http://astrothesaurus.org/uat/650,http://astrothesaurus.org/uat/GiantBranches,
Giant elliptical galaxies,http://astrothesaurus.org/uat/651,http://astrothesaurus.org/uat/GiantEllipticalGalaxies,
Giant galaxies,http://astrothesaurus.org/uat/652,http://astrothesaurus.org/uat/GiantGalaxies,
Giant molecular clouds,http://astrothesaurus.org/uat/653,http://astrothesaurus.org/uat/GiantMolecularClouds,
Giant radio galaxies,http://astrothesaurus.org/uat/654,http://astrothesaurus.org/uat/GiantRadioGalaxies,
Giant stars,http://astrothesaurus.org/uat/655,http://astrothesaurus.org/uat/GiantStars,
Globular star clusters,http://astrothesaurus.org/uat/656,http://astrothesaurus.org/uat/GlobularStarClusters,
Gödel universe,http://astrothesaurus.org/uat/657,http://astrothesaurus.org/uat/GodelUniverse,
Gould Belt,http://astrothesaurus.org/uat/658,http://astrothesaurus.org/uat/GouldBelt,
Granule,http://astrothesaurus.org/uat/659,http://astrothesaurus.org/uat/Granule,
Gravastars,http://astrothesaurus.org/uat/660,http://astrothesaurus.org/uat/Gravastars,
Gravitation,http://astrothesaurus.org/uat/661,http://astrothesaurus.org/uat/Gravitation,
Gravitational collapse,http://astrothesaurus.org/uat/662,http://astrothesaurus.org/uat/GravitationalCollapse,
Gravitational deflection,http://astrothesaurus.org/uat/663,http://astrothesaurus.org/uat/GravitationalDeflection,
Gravitational disruption,http://astrothesaurus.org/uat/664,http://astrothesaurus.org/uat/GravitationalDisruption,
Gravitational energy,http://astrothesaurus.org/uat/665,http://astrothesaurus.org/uat/GravitationalEnergy,
Gravitational equilibrium,http://astrothesaurus.org/uat/666,http://astrothesaurus.org/uat/GravitationalEquilibrium,
Gravitational fields,http://astrothesaurus.org/uat/667,http://astrothesaurus.org/uat/GravitationalFields,
Gravitational instability,http://astrothesaurus.org/uat/668,http://astrothesaurus.org/uat/GravitationalInstability,
Gravitational interaction,http://astrothesaurus.org/uat/669,http://astrothesaurus.org/uat/GravitationalInteraction,
Gravitational lensing,http://astrothesaurus.org/uat/670,http://astrothesaurus.org/uat/GravitationalLensing,
Gravitational lensing shear,http://astrothesaurus.org/uat/671,http://astrothesaurus.org/uat/GravitationalLensingShear,
Gravitational microlensing,http://astrothesaurus.org/uat/672,http://astrothesaurus.org/uat/GravitationalMicrolensing,
Gravitational microlensing [Exoplanets],http://astrothesaurus.org/uat/673,http://astrothesaurus.org/uat/GravitationalMicrolensing_(Exoplanets),
Gravitational singularities,http://astrothesaurus.org/uat/674,http://astrothesaurus.org/uat/GravitationalSingularities,
Gravitational wave astronomy,http://astrothesaurus.org/uat/675,http://astrothesaurus.org/uat/GravitationalWaveAstronomy,
Gravitational wave detectors,http://astrothesaurus.org/uat/676,http://astrothesaurus.org/uat/GravitationalWaveDetectors,
Gravitational wave sources,http://astrothesaurus.org/uat/677,http://astrothesaurus.org/uat/GravitationalWaveSources,
Gravitational waves,http://astrothesaurus.org/uat/678,http://astrothesaurus.org/uat/GravitationalWaves,
Gravity anomaly,http://astrothesaurus.org/uat/679,http://astrothesaurus.org/uat/GravityAnomaly,
Gravity darkening,http://astrothesaurus.org/uat/680,http://astrothesaurus.org/uat/GravityDarkening,
Grazing incidence telescopes,http://astrothesaurus.org/uat/681,http://astrothesaurus.org/uat/GrazingIncidenceTelescopes,
Great Attractor,http://astrothesaurus.org/uat/682,http://astrothesaurus.org/uat/GreatAttractor,
Green valley galaxies,http://astrothesaurus.org/uat/683,http://astrothesaurus.org/uat/GreenValleyGalaxies,
Greenhouse gases,http://astrothesaurus.org/uat/684,http://astrothesaurus.org/uat/GreenhouseGases,
Gregorian telescopes,http://astrothesaurus.org/uat/685,http://astrothesaurus.org/uat/GregorianTelescopes,
Ground telescopes,http://astrothesaurus.org/uat/687,http://astrothesaurus.org/uat/GroundTelescopes,
Ground-based astronomy,http://astrothesaurus.org/uat/686,http://astrothesaurus.org/uat/Ground-BasedAstronomy,
Gunn photometry,http://astrothesaurus.org/uat/688,http://astrothesaurus.org/uat/GunnPhotometry,
H alpha photometry,http://astrothesaurus.org/uat/691,http://astrothesaurus.org/uat/HAlphaPhotometry,
H beta photometry,http://astrothesaurus.org/uat/692,http://astrothesaurus.org/uat/HBetaPhotometry,
H I regions,http://astrothesaurus.org/uat/693,http://astrothesaurus.org/uat/HIRegions,
H II regions,http://astrothesaurus.org/uat/694,http://astrothesaurus.org/uat/HIiRegions,
H1 line emission,http://astrothesaurus.org/uat/690,http://astrothesaurus.org/uat/H1LineEmission,
Habitable planets,http://astrothesaurus.org/uat/695,http://astrothesaurus.org/uat/HabitablePlanets,
Habitable zone,http://astrothesaurus.org/uat/696,http://astrothesaurus.org/uat/HabitableZone,
Hadron barrier,http://astrothesaurus.org/uat/697,http://astrothesaurus.org/uat/HadronBarrier,
Hall thrusters,http://astrothesaurus.org/uat/698,http://astrothesaurus.org/uat/HallThrusters,
Halo stars,http://astrothesaurus.org/uat/699,http://astrothesaurus.org/uat/HaloStars,
H-alpha stars,http://astrothesaurus.org/uat/689,http://astrothesaurus.org/uat/H-AlphaStars,
Hardness ratio,http://astrothesaurus.org/uat/700,http://astrothesaurus.org/uat/HardnessRatio,
Haro galaxies,http://astrothesaurus.org/uat/701,http://astrothesaurus.org/uat/HaroGalaxies,
Haumea,http://astrothesaurus.org/uat/702,http://astrothesaurus.org/uat/Haumea,
Hawking radiation,http://astrothesaurus.org/uat/703,http://astrothesaurus.org/uat/HawkingRadiation,
Hayashi track,http://astrothesaurus.org/uat/704,http://astrothesaurus.org/uat/HayashiTrack,
Heavy metal stars,http://astrothesaurus.org/uat/705,http://astrothesaurus.org/uat/HeavyMetalStars,
Heliocentric orbit,http://astrothesaurus.org/uat/706,http://astrothesaurus.org/uat/HeliocentricOrbit,
Heliopause,http://astrothesaurus.org/uat/707,http://astrothesaurus.org/uat/Heliopause,
Helioseismic pulsations,http://astrothesaurus.org/uat/708,http://astrothesaurus.org/uat/HelioseismicPulsations,
Helioseismology,http://astrothesaurus.org/uat/709,http://astrothesaurus.org/uat/Helioseismology,
Heliosheath,http://astrothesaurus.org/uat/710,http://astrothesaurus.org/uat/Heliosheath,
Heliosphere,http://astrothesaurus.org/uat/711,http://astrothesaurus.org/uat/Heliosphere,
Heliostats,http://astrothesaurus.org/uat/712,http://astrothesaurus.org/uat/Heliostats,
Helium abundance,http://astrothesaurus.org/uat/713,http://astrothesaurus.org/uat/Helium,
Helium burning,http://astrothesaurus.org/uat/716,http://astrothesaurus.org/uat/HeliumBurning,
Helium weak stars,http://astrothesaurus.org/uat/717,http://astrothesaurus.org/uat/HeliumWeakStars,
Helium-poor stars,http://astrothesaurus.org/uat/714,http://astrothesaurus.org/uat/Helium-PoorStars,
Helium-rich stars,http://astrothesaurus.org/uat/715,http://astrothesaurus.org/uat/Helium-RichStars,
Helmholtz-Kelvin contraction,http://astrothesaurus.org/uat/718,http://astrothesaurus.org/uat/Helmholtz-KelvinContraction,
Henry Draper catalog,http://astrothesaurus.org/uat/719,http://astrothesaurus.org/uat/HenryDraperCatalog,
Henry Draper Catalogue,http://astrothesaurus.org/uat/720,http://astrothesaurus.org/uat/HenryDraperCatalogue,
Henyey track,http://astrothesaurus.org/uat/721,http://astrothesaurus.org/uat/HenyeyTrack,
Herbig Ae/Be stars,http://astrothesaurus.org/uat/723,http://astrothesaurus.org/uat/HerbigAe/BeStars,
Herbig-Haro objects,http://astrothesaurus.org/uat/722,http://astrothesaurus.org/uat/Herbig-HaroObjects,
Hertzsprung gap,http://astrothesaurus.org/uat/724,http://astrothesaurus.org/uat/HertzsprungGap,
Hertzsprung Russell diagrams,http://astrothesaurus.org/uat/725,http://astrothesaurus.org/uat/HertzsprungRussellDiagrams,
Heterodyne interferometry,http://astrothesaurus.org/uat/726,http://astrothesaurus.org/uat/HeterodyneInterferometry,
Heterodyne receivers,http://astrothesaurus.org/uat/727,http://astrothesaurus.org/uat/HeterodyneReceivers,
HI shells,http://astrothesaurus.org/uat/728,http://astrothesaurus.org/uat/HiShells,
Hickson compact group,http://astrothesaurus.org/uat/729,http://astrothesaurus.org/uat/HicksonCompactGroup,
Hierarchical cosmology,http://astrothesaurus.org/uat/730,http://astrothesaurus.org/uat/HierarchicalCosmology,
High altitude balloons,http://astrothesaurus.org/uat/738,http://astrothesaurus.org/uat/HighAltitudeBalloons,
High energy astrophysics,http://astrothesaurus.org/uat/739,http://astrothesaurus.org/uat/HighEnergyAstrophysics,
High time resolution astrophysics,http://astrothesaurus.org/uat/740,http://astrothesaurus.org/uat/HighTimeResolutionAstrophysics,
High-energy cosmic radiation,http://astrothesaurus.org/uat/731,http://astrothesaurus.org/uat/High-EnergyCosmicRadiation,
High-mass stars,http://astrothesaurus.org/uat/732,http://astrothesaurus.org/uat/High-MassStars,
High-mass X-ray binary stars,http://astrothesaurus.org/uat/733,http://astrothesaurus.org/uat/High-MassX-RayBinaryStars,
